NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Lucas Digne,Aston Villa,DEF,2020-21,60,62,120,2681,0,9,9,42,0,0,0,2,1,0,18,590,592.6,704.2,136.0,143.5,0,0.00,0.00,0.00,0.00
Kortney Hause,Aston Villa,DEF,2020-21,45,44,32,630,1,0,3,6,0,0,0,2,0,0,3,124,147.0,2.2,57.0,20.7,0,0.00,0.00,0.00,0.00
Kaine Kesler-Hayden,Aston Villa,DEF,2020-21,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ezri Konsa Ngoyo,Aston Villa,DEF,2020-21,45,46,119,3195,2,0,12,46,0,0,0,3,0,0,8,580,695.6,34.2,276.0,101.0,0,0.00,0.00,0.00,0.00
Emiliano Martínez Romero,Aston Villa,GKP,2020-21,45,53,186,3420,0,0,15,46,0,1,0,1,0,142,27,825,1067.2,20.0,0.0,108.5,0,0.00,0.00,0.00,0.00
John McGinn,Aston Villa,MID,2020-21,55,55,114,3330,3,7,14,46,0,0,0,12,0,0,2,492,579.0,600.5,361.0,154.1,0,0.00,0.00,0.00,0.00
Tyrone Mings,Aston Villa,DEF,2020-21,50,54,128,3194,2,2,14,42,1,0,0,4,1,0,8,633,798.4,97.3,293.0,119.3,0,0.00,0.00,0.00,0.00
Robin Olsen,Aston Villa,GKP,2020-21,45,45,25,630,0,0,2,9,0,0,0,1,0,21,3,119,166.4,0.0,0.0,16.7,0,0.00,0.00,0.00,0.00
Jacob Ramsey,Aston Villa,MID,2020-21,45,45,28,611,0,0,2,10,0,0,0,0,0,0,0,75,72.8,91.7,126.0,28.9,0,0.00,0.00,0.00,0.00
Youri Tielemans,Aston Villa,MID,2020-21,65,64,133,3356,6,4,11,50,0,0,0,6,0,0,11,633,840.4,788.2,462.0,209.1,0,0.00,0.00,0.00,0.00
Ollie Watkins,Aston Villa,FWD,2020-21,60,63,168,3328,14,9,14,46,0,0,1,2,1,0,18,531,815.4,610.4,1721.0,314.0,0,0.00,0.00,0.00,0.00
Jaden Philogene,Aston Villa,MID,2020-21,45,44,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.1,0,0.00,0.00,0.00,0.00
Fábio Freitas Gouveia Carvalho,Brentford,MID,2020-21,45,45,12,254,1,0,0,6,0,0,0,0,0,0,0,42,72.4,30.8,161.0,26.5,0,0.00,0.00,0.00,0.00
Lewis Dunk,Brighton,DEF,2020-21,50,48,130,2932,5,0,11,40,1,0,0,5,2,0,17,626,720.4,136.7,443.0,130.2,0,0.00,0.00,0.00,0.00
Billy Gilmour,Brighton,MID,2020-21,45,43,8,259,0,0,1,2,0,0,0,0,0,0,0,38,36.0,50.9,8.0,9.5,0,0.00,0.00,0.00,0.00
Pascal Groß,Brighton,MID,2020-21,60,58,116,2479,3,8,10,28,0,0,1,3,0,0,11,525,620.4,1087.8,415.0,212.3,0,0.00,0.00,0.00,0.00
